pixel_index,row,col,class
1196,3,176,3
1829,5,129,3
2138,6,98,0
2479,7,99,0
3904,11,164,3
7985,23,165,3
8329,24,169,3
8988,26,148,3
9634,28,114,0
9668,28,148,3
13394,39,134,3
15771,46,131,3
15772,46,132,3
17121,50,121,0
19179,56,139,3
19406,57,26,0
21130,62,50,1
26628,78,108,1
27249,80,49,3
27589,81,49,3
29607,87,27,1
29632,87,52,3
29674,87,94,1
32108,94,148,0
33116,97,136,3
36523,107,143,3
42651,125,151,3
47761,140,161,3
48455,142,175,0
49660,146,20,0
49687,146,47,7
52749,155,49,7
53768,158,48,7
53912,158,192,3
54142,159,82,1
54175,159,115,4
55257,162,177,0
55470,163,50,7
55875,164,115,8
55887,164,127,4
56574,166,134,4
57124,168,4,0
57139,168,19,7
57250,168,130,4
57256,168,136,4
57945,170,145,8
58518,172,38,7
58945,173,125,4
59293,174,133,4
59624,175,124,4
60530,178,10,0
60576,178,56,7
61333,180,133,4
61663,181,123,8
61690,181,150,4
61763,181,223,3
62030,182,150,4
63268,186,28,7
65749,193,129,4
66009,194,49,7
66027,194,67,7
66153,194,193,0
66401,195,101,1
66428,195,128,4
67369,198,49,7
69147,203,127,8
69504,204,144,4
70183,206,143,4
71542,210,142,4
71547,210,147,4
71880,211,140,4
71888,211,148,4
72475,213,55,7
72575,213,155,8
74565,219,105,1
75985,223,165,4
76318,224,158,4
76993,226,153,4
77629,228,109,1
77676,228,156,4
78687,231,147,4
78702,231,162,8
79031,232,151,4
79033,232,153,4
79370,233,150,4
79704,234,144,4
79716,234,156,4
79717,234,157,4
80055,235,155,4
80395,236,155,4
80722,237,142,4
81062,238,142,4
81070,238,150,8
81380,239,120,1
82986,244,26,3
83127,244,167,4
83479,245,179,8
83515,245,215,0
84137,247,157,4
84480,248,160,4
84539,248,219,0
84821,249,161,4
85166,250,166,4
85755,252,75,7
86513,254,153,4
86866,255,166,8
87200,256,160,8
89459,263,39,3
91564,269,104,7
92336,271,196,5
92548,272,68,7
92923,273,103,7
93026,273,206,5
93063,273,243,3
94251,277,71,7
95064,279,204,5
95291,280,91,7
95391,280,191,5
95726,281,186,5
95955,282,75,7
96061,282,181,5
96386,283,166,5
97353,286,113,7
97418,286,178,5
98323,289,63,0
99291,292,11,2
99801,293,181,5
100060,294,100,7
101404,298,84,7
101754,299,94,7
102084,300,84,7
102200,300,200,5
102208,300,208,5
103845,305,145,6
103860,305,160,6
103905,305,205,5
104205,306,165,6
104393,307,13,2
104546,307,166,6
104733,308,13,2
104740,308,20,2
104783,308,63,3
104863,308,143,6
105415,310,15,2
105419,310,19,2
105556,310,156,6
105595,310,195,5
106221,312,141,6
106261,312,181,5
106440,313,20,2
106884,314,124,6
106909,314,149,6
106910,314,150,6
106913,314,153,6
107262,315,162,8
107315,315,215,5
107664,316,224,5
107925,317,145,6
107937,317,157,8
108280,318,160,8
108325,318,205,5
108927,320,127,6
108957,320,157,8
109707,322,227,5
109839,323,19,2
109934,323,114,6
109950,323,130,6
110182,324,22,2
110273,324,113,6
110289,324,129,6
110698,325,198,5
110862,326,22,2
110966,326,126,6
111023,326,183,5
111033,326,193,5
111054,326,214,5
111354,327,174,5
111390,327,210,5
111399,327,219,5
111552,328,32,2
111918,329,58,8
112061,329,201,5
112661,331,121,6
112678,331,138,8
112679,331,139,8
113099,332,219,5
113251,333,31,2
113682,334,122,6
114103,335,203,5
114439,336,199,5
114774,337,194,5
115493,339,233,5
115731,340,131,6
115809,340,209,5
115880,340,280,3
116059,341,119,8
116138,341,198,5
116411,342,131,6
117094,344,134,6
118269,347,289,3
118460,348,140,6
118857,349,197,5
119293,350,293,3
119482,351,142,6
119850,352,170,5
120167,353,147,6
120488,354,128,6
120543,354,183,5
120843,355,143,6
121165,356,125,6
121192,356,152,6
121226,356,186,5
121246,356,206,5
121563,357,183,5
121656,357,276,0
122089,359,29,2
122776,361,36,2
122884,361,144,6
122886,361,146,6
122933,361,193,5
123227,362,147,6
123566,363,146,6
123574,363,154,6
123785,364,25,2
124037,364,277,0
124234,365,134,6
124237,365,137,6
124579,366,139,6
124819,367,39,2
125152,368,32,2
125267,368,147,6
125908,370,108,0
126189,371,49,8
126421,371,281,0
126516,372,36,2
126977,373,157,8
126978,373,158,8
127317,374,157,8
127642,375,142,6
127872,376,32,2
128577,378,57,2
128805,378,285,0
128919,379,59,2
129905,382,25,2
130172,382,292,0
130620,384,60,2
131936,388,16,2
132590,389,330,0
132637,390,37,8
134329,395,29,8
134606,395,306,0
134668,396,28,8
135033,397,53,2
135445,398,125,0
136051,400,51,2
136302,400,302,0
136752,402,72,2
137340,403,320,0
137778,405,78,2
139120,409,60,2
139351,409,291,0
140779,414,19,2
140830,414,70,2
141761,416,321,0
143570,422,90,2
143788,422,308,3
143947,423,127,3
144390,424,230,8
144470,424,310,3
144576,425,76,2
145747,428,227,8
146565,431,25,8
146975,432,95,8
147099,432,219,8
147100,432,220,8
148332,436,92,8
148334,436,94,8
148629,437,49,8
148931,438,11,8
149005,438,85,2
149020,438,100,3
149344,439,84,2
149609,440,9,8
151201,444,241,0
151395,445,95,3
151976,446,336,0
151980,447,0,2
152073,447,93,3
152655,448,335,0
152853,449,193,8
153007,450,7,2
153474,451,134,7
154149,453,129,7
154205,453,185,8
156069,459,9,2
157769,464,9,2
157902,464,142,7
157931,464,171,0
158615,466,175,0
159291,468,171,0
159474,469,14,2
160017,470,217,3
161539,475,39,8
161595,475,95,7
161931,476,91,7
162553,478,33,8
163679,481,139,7
165006,485,106,7
165767,487,187,3
167713,493,93,7
170562,501,222,1
173938,511,198,1
176178,518,58,7
176319,518,199,1
176972,520,172,3
180730,531,190,1
181091,532,211,1
182040,535,140,3
182820,537,240,1
182947,538,27,7
183829,540,229,1
184861,543,241,1
185306,545,6,0
185399,545,99,7
185549,545,249,1
186360,548,40,7
186755,549,95,7
187062,550,62,7
187888,552,208,1
188534,554,174,1
188892,555,192,1
188916,555,216,1
189083,556,43,7
189127,556,87,7
189849,558,129,3
189960,558,240,1
190931,561,191,1
192359,565,259,1
193631,569,171,1
195593,575,93,3
196064,576,224,1
196980,579,120,0
197394,580,194,1
197750,581,210,1
197991,582,111,0
198679,584,119,3
198721,584,161,1
198967,585,67,0
198971,585,71,0
199665,587,85,0
200422,589,162,1
202757,596,117,1
204159,600,159,1
204232,600,232,1
204875,602,195,1
204942,602,262,1
205212,603,192,1
205780,605,80,1
205918,605,218,1
206608,607,228,1
