pixel_index,row,col,class
53768,87,350,11
65065,105,595,7
66292,107,594,7
68133,110,593,7
78175,127,197,12
79173,128,581,7
82222,133,560,7
82478,134,202,12
83217,135,327,11
83714,136,210,12
83822,136,318,11
83903,136,399,10
85133,138,401,10
85154,138,422,11
85667,139,321,11
85668,139,322,11
85738,139,392,10
85763,139,417,11
86380,140,420,11
86964,141,390,10
88191,143,389,10
89426,145,396,10
94440,153,498,4
94443,153,501,4
94551,153,609,7
95056,154,500,4
95666,155,496,4
95668,155,498,4
95673,155,503,4
95679,155,509,4
96899,157,501,4
97513,158,501,4
107272,174,436,4
108045,175,595,0
108049,175,599,0
108442,176,378,11
108517,176,453,3
108519,176,455,3
114649,186,445,3
115261,187,443,3
115875,188,443,3
117113,190,453,3
120803,196,459,3
122029,198,457,3
129532,210,592,5
131371,213,589,5
131979,214,583,5
132312,215,302,11
133213,216,589,5
133214,216,590,5
135056,219,590,5
137328,223,406,1
137332,223,410,1
137950,224,414,1
139792,227,414,1
140404,228,412,1
144116,234,440,1
150821,245,391,1
152237,247,579,5
154079,250,579,5
154082,250,582,5
154089,250,589,5
154578,251,464,2
154579,251,465,2
155796,253,454,2
156424,254,468,2
157026,255,456,2
157027,255,457,2
166098,270,318,10
167322,272,314,10
169781,276,317,10
173459,282,311,10
184025,299,439,2
186476,303,434,2
192020,312,452,7
193250,314,454,7
194484,316,460,7
196930,320,450,7
200590,326,426,2
204410,332,562,1
204785,333,323,9
206865,336,561,1
209085,340,325,9
211047,343,445,2
212982,346,538,6
214821,349,535,6
214822,349,536,6
215435,350,535,6
216043,351,529,6
216045,351,531,6
216665,352,537,6
216685,352,557,1
217273,353,531,6
217888,354,532,6
217892,354,536,6
219574,357,376,8
224483,365,373,8
227648,370,468,8
237796,387,178,12
243127,395,597,0
243320,396,176,12
243744,396,600,0
246812,401,598,0
248571,404,515,3
249267,405,597,0
251121,408,609,0
253507,412,539,3
253577,412,609,0
263844,429,438,8
264454,430,434,8
265071,431,437,8
265074,431,440,8
265685,432,437,8
266825,434,349,9
267434,435,344,9
267435,435,345,9
267441,435,351,9
267527,435,437,8
268050,436,346,9
268752,437,434,8
269276,438,344,9
269540,438,608,0
271741,442,353,9
272609,443,607,0
277757,452,229,12
278979,454,223,12
278999,454,243,12
282663,460,223,12
286350,466,226,12
300100,488,468,9
