pixel_index,row,col,class
10559,26,159,6
21433,53,233,8
27925,69,325,3
36214,90,214,6
37122,92,322,0
52237,130,237,8
60019,150,19,2
62455,156,55,2
63628,159,28,2
64402,161,2,2
68849,172,49,2
74686,186,286,4
75623,189,23,1
77111,192,311,4
82498,206,98,8
83467,208,267,3
83571,208,371,4
86306,215,306,3
86640,216,240,8
87593,218,393,4
88398,220,398,4
89291,223,91,7
93250,233,50,1
99300,248,100,7
101224,253,24,1
102055,255,55,1
105461,263,261,3
108245,270,245,7
110460,276,60,1
112977,282,177,6
123748,309,148,6
124471,311,71,0
125606,314,6,0
136108,340,108,8
153463,383,263,5
159609,399,9,0
166550,416,150,6
173076,432,276,5
179252,448,52,0
179552,448,352,3
186664,466,264,5
203470,508,270,5
206646,516,246,7
214643,536,243,7
217868,544,268,5
