pixel_index,row,col,class
43841,171,65,13
46169,180,89,13
46696,182,104,13
46706,182,114,13
73949,288,221,11
74977,292,225,11
76257,297,225,11
77010,300,210,11
86008,335,248,11
96229,375,229,12
96991,378,223,12
97002,378,234,12
97260,379,236,12
97510,380,230,12
116980,456,244,10
118073,461,57,10
119166,465,126,9
119283,465,243,10
119425,466,129,9
121072,472,240,10
121586,474,242,10
126686,494,222,9
127012,496,36,8
128483,501,227,9
128735,502,223,9
134994,527,82,6
135253,528,85,6
136017,531,81,6
136093,531,157,8
136357,532,165,8
142025,554,201,8
142389,556,53,6
143301,559,197,8
143929,562,57,6
157829,616,133,1
159126,621,150,13
163192,637,120,1
163447,638,119,1
164982,644,118,1
165077,644,213,1
176470,689,86,4
186766,729,142,4
194792,760,232,7
195560,763,232,7
198932,777,20,0
199957,781,21,0
200936,784,232,5
201701,787,229,5
201956,788,228,5
210870,823,182,4
212155,828,187,4
218715,854,91,0
219228,856,92,0
219230,856,94,0
225666,881,130,4
225858,882,66,3
225861,882,69,3
225974,882,182,2
227399,888,71,3
231333,903,165,7
232636,908,188,7
238147,930,67,7
238278,930,198,5
253889,991,193,3
253892,991,196,3
266126,1039,142,2
266383,1040,143,2
272868,1065,228,2
275362,1075,162,5
275426,1075,226,2
